         q                   u
  0.42916802E+03     -0.28199729E-01
  0.42965462E+03     -0.28300639E-01
  0.43013948E+03     -0.28401357E-01
  0.43062260E+03     -0.28501889E-01
  0.43110398E+03     -0.28602234E-01
  0.43158364E+03     -0.28702390E-01
  0.43206156E+03     -0.28802355E-01
  0.43253776E+03     -0.28902128E-01
  0.43301224E+03     -0.29001707E-01
  0.43348500E+03     -0.29101090E-01
  0.43395604E+03     -0.29200686E-01
  0.43442537E+03     -0.29301098E-01
  0.43489299E+03     -0.29401286E-01
  0.43535891E+03     -0.29501279E-01
  0.43582311E+03     -0.29601082E-01
  0.43628562E+03     -0.29700693E-01
  0.43674644E+03     -0.29800110E-01
  0.43720555E+03     -0.29899331E-01
  0.43766298E+03     -0.29998356E-01
  0.43811872E+03     -0.30097182E-01
  0.43857277E+03     -0.30195809E-01
  0.43902515E+03     -0.30294234E-01
  0.43947584E+03     -0.30392456E-01
  0.43992486E+03     -0.30491488E-01
  0.44037220E+03     -0.30592354E-01
  0.44081788E+03     -0.30693087E-01
  0.44126189E+03     -0.30794498E-01
  0.44170424E+03     -0.30897764E-01
  0.44214493E+03     -0.31000728E-01
  0.44258396E+03     -0.31103489E-01
  0.44302134E+03     -0.31206050E-01
  0.44345706E+03     -0.31308409E-01
  0.44389114E+03     -0.31411242E-01
  0.44432358E+03     -0.31513955E-01
  0.44475437E+03     -0.31618634E-01
  0.44518353E+03     -0.31723803E-01
  0.44561105E+03     -0.31828823E-01
  0.44603694E+03     -0.31933635E-01
  0.44646120E+03     -0.32038229E-01
  0.44688384E+03     -0.32142602E-01
  0.44730485E+03     -0.32246753E-01
  0.44772425E+03     -0.32350681E-01
  0.44814203E+03     -0.32454383E-01
  0.44855819E+03     -0.32557858E-01
  0.44897274E+03     -0.32661104E-01
  0.44938569E+03     -0.32764120E-01
  0.44979704E+03     -0.32866903E-01
  0.45020678E+03     -0.32969453E-01
  0.45061493E+03     -0.33071768E-01
  0.45102148E+03     -0.33173845E-01
  0.45142644E+03     -0.33275683E-01
  0.45182981E+03     -0.33377282E-01
  0.45223160E+03     -0.33478639E-01
  0.45263181E+03     -0.33579753E-01
  0.45303043E+03     -0.33680623E-01
  0.45342749E+03     -0.33781249E-01
  0.45382297E+03     -0.33883174E-01
  0.45421688E+03     -0.33984807E-01
  0.45460922E+03     -0.34086191E-01
  0.45500000E+03     -0.34187331E-01
  0.45538922E+03     -0.34288226E-01
  0.45577688E+03     -0.34388873E-01
  0.45616299E+03     -0.34493929E-01
  0.45654755E+03     -0.34600908E-01
  0.45693056E+03     -0.34707890E-01
  0.45731203E+03     -0.34816837E-01
  0.45769196E+03     -0.34925748E-01
  0.45807035E+03     -0.35034483E-01
  0.45844720E+03     -0.35143025E-01
  0.45882252E+03     -0.35251368E-01
  0.45919631E+03     -0.35359505E-01
  0.45956858E+03     -0.35467434E-01
  0.45993932E+03     -0.35575155E-01
  0.46030855E+03     -0.35682661E-01
  0.46067625E+03     -0.35789953E-01
  0.46104245E+03     -0.35897027E-01
  0.46140713E+03     -0.36003883E-01
