     id                xc                yc                zc                ra                vx                vy                vz     ct
    104   -1.90476190e-01   -2.28754647e-01   -4.52380952e-01    2.38095238e-02    1.71367901e-02    8.14295144e-03    1.37859944e-02     -1
    105   -1.42857143e-01   -2.28754647e-01   -4.52380952e-01    2.38095238e-02    3.59669180e-02    4.16516653e-02    2.11040434e-03     -1
    106   -9.52380952e-02   -2.28754647e-01   -4.52380952e-01    2.38095238e-02    1.29236892e-02    3.49023812e-02    1.63420769e-02     -1
    107   -4.76190476e-02   -2.28754647e-01   -4.52380952e-01    2.38095238e-02    3.91583129e-02    2.89557255e-02    4.68147271e-02     -1
    108   -5.55111512e-17   -2.28754647e-01   -4.52380952e-01    2.38095238e-02    2.17557512e-03    4.92773505e-02    1.46754594e-03     -1
    109    4.76190476e-02   -2.28754647e-01   -4.52380952e-01    2.38095238e-02    4.01610938e-02    2.41605374e-02    2.92456784e-02     -1
    110    9.52380952e-02   -2.28754647e-01   -4.52380952e-01    2.38095238e-02    3.49864870e-02    2.60479737e-02    3.28092968e-02     -1
    111    1.42857143e-01   -2.28754647e-01   -4.52380952e-01    2.38095238e-02    2.84243055e-02    5.39897545e-04    3.67547502e-02     -1
    112    1.90476190e-01   -2.28754647e-01   -4.52380952e-01    2.38095238e-02    3.55748814e-03    9.15634097e-03    4.99808681e-02     -1
    113    2.38095238e-01   -2.28754647e-01   -4.52380952e-01    2.38095238e-02    4.18854607e-02    1.71251769e-02    4.10308575e-03     -1
    114    3.33333333e-01   -2.28754647e-01   -4.52380952e-01    2.38095238e-02    3.06955241e-03    3.42619670e-02    1.22460372e-02     -1
    115    3.80952381e-01   -2.28754647e-01   -4.52380952e-01    2.38095238e-02    1.68555468e-02    2.02288849e-02    3.89770246e-03     -1
    116    4.28571429e-01   -2.28754647e-01   -4.52380952e-01    2.38095238e-02    1.89659511e-02    3.31525741e-02    3.88000837e-02     -1
    117    4.76190476e-01   -2.28754647e-01   -4.52380952e-01    2.38095238e-02    3.53080280e-02    2.23108870e-02    1.77558092e-02     -1
    118   -4.52380952e-01   -1.87515342e-01   -4.52380952e-01    2.38095238e-02    3.21227551e-02    2.44864622e-02    1.70331597e-02     -1
    119   -4.04761905e-01   -1.87515342e-01   -4.52380952e-01    2.38095238e-02    3.35903011e-02    1.46475560e-02    4.11936971e-02     -1
    120   -3.09523810e-01   -1.87515342e-01   -4.52380952e-01    2.38095238e-02    1.28359794e-02    4.96340430e-02    1.72416708e-02     -1
    121   -2.61904762e-01   -1.87515342e-01   -4.52380952e-01    2.38095238e-02    4.56452762e-02    2.80583484e-02    1.77815684e-02     -1
    122   -2.14285714e-01   -1.87515342e-01   -4.52380952e-01    2.38095238e-02    3.24000264e-02    3.16158366e-02    2.69379093e-02     -1
